Symbol,Company Name,Security Type,Security Price,Sector,Industry,Sub-Industry,Market Capitalization,Dividend Yield,Earnings Yield (TTM)
ALV,Autoliv Inc,Common Stock,105.16,Consumer Discretionary,Automobile Components,Automotive Parts & Equipment,$7.56B,3.44657,9.45825
BWA,BorgWarner Inc,Common Stock,54.26,Consumer Discretionary,Automobile Components,Automotive Parts & Equipment,$10.83B,1.29401,2.43578
GNTX,Gentex Corporation,Common Stock,21.85,Consumer Discretionary,Automobile Components,Automotive Parts & Equipment,$4.61B,2.24299,8.13084
MGA,Magna International Inc,Common Stock,55.81,Consumer Discretionary,Automobile Components,Automotive Parts & Equipment,$14.77B,3.70578,5.48381
PATK,Patrick Industries Inc,Common Stock,111.07,Consumer Discretionary,Automobile Components,Automotive Parts & Equipment,$3.51B,1.77862,3.68969
SMTOY,Sumitomo Electric Industries Ltd,Depository Receipt,55.2,Consumer Discretionary,Automobile Components,Automotive Parts & Equipment,$42.10B,1.22317,
DAN,Dana Inc,Common Stock,33.65,Consumer Discretionary,Automobile Components,Automotive Parts & Equipment,$3.49B,1.50849,
MGDDY,Compagnie Generale des Etablissements Michelin Soc,Depository Receipt,17.04,Consumer Discretionary,Automobile Components,Tires & Rubber,$22.88B,4.43389,
ASEKY,Aisin Corporation,Depository Receipt,13.92,Consumer Discretionary,Automobile Components,Automotive Parts & Equipment,$10.13B,2.84903,
LEA,Lear Corp,Common Stock,121.08,Consumer Discretionary,Automobile Components,Automotive Parts & Equipment,$5.91B,2.64491,6.99871
KOTMY,Koito Manufacturing Co Ltd,Depository Receipt,14.48,Consumer Discretionary,Automobile Components,Automotive Parts & Equipment,$4.14B,2.41318,
HLLGY,HELLA GmbH & Co. KGaA,Depository Receipt,45.19,Consumer Discretionary,Automobile Components,Automotive Parts & Equipment,$10.04B,1.1921,
HMC,Honda Motor Co Ltd,Depository Receipt,24.31,Consumer Discretionary,Automobiles,Automobile Manufacturers,$30.69B,5.87365,12.43129
ISUZY,Isuzu Motors Ltd,Depository Receipt,14.29,Consumer Discretionary,Automobiles,Automobile Manufacturers,$9.67B,4.43028,
THO,THOR Industries Inc,Common Stock,79.89,Consumer Discretionary,Automobiles,Automobile Manufacturers,$4.11B,2.65883,7.19673
TM,Toyota Motor Corp,Depository Receipt,206.09,Consumer Discretionary,Automobiles,Automobile Manufacturers,$264.50B,3.11627,9.47078
BMWKY,Bayerische Motoren Werke Aktiengesellschaft,Depository Receipt,30.48,Consumer Discretionary,Automobiles,Automobile Manufacturers,$49.18B,5.43339,
BYDDY,BYD Company Limited,Depository Receipt,13.63,Consumer Discretionary,Automobiles,Automobile Manufacturers,$48.95B,1.32387,
SZKMY,Suzuki Motor Corp,Depository Receipt,48.35,Consumer Discretionary,Automobiles,Automobile Manufacturers,$22.48B,2.39422,
GELHY,Geely Automobile Holdings Ltd,Depository Receipt,54.47,Consumer Discretionary,Automobiles,Automobile Manufacturers,$28.93B,1.56585,
GM,General Motors Co,Common Stock,74.5,Consumer Discretionary,Automobiles,Automobile Manufacturers,$65.77B,0.98955,4.49423
GWLLY,Great Wall Motor Company Limited,Depository Receipt,15.5,Consumer Discretionary,Automobiles,Automobile Manufacturers,$3.59B,4.03809,
RACE,Ferrari NV,Common Stock,338.45,Consumer Discretionary,Automobiles,Automobile Manufacturers,$57.80B,1.0326,3.21516
MBGYY,Mercedes Benz Group AG,Depository Receipt,15.25,Consumer Discretionary,Automobiles,Automobile Manufacturers,$52.13B,9.71208,11.26952
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Highlighted cells have been user-added and may not meet the criteria included in the screen.,,,,,,,,,
Fidelity does not guarantee the suitability or potential value of any particular investment or information source.,,,,,,,,,
Data and information is provided by third-parties and is for informational purposes only.,,,,,,,,,
All data is historical and is subject to revision or change at any time.,,,,,,,,,
Performance data quoted represents past performance and the return and principal value of an investment will fluctuate,,,,,,,,,
so that an investor's shares when redeemed may be worth more or less than their original cost.,,,,,,,,,
,,,,,,,,,
Fidelity Brokerage Services,,,,,,,,,
Member NYSE SIPC,,,,,,,,,
900 Salem Street,,,,,,,,,
Smithfield RI 02917,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
AS OF 07:52 PM ET 03/31/2026 Quotes delayed at least 15 minutes.,,,,,,,,,
